Delay,Execution_Time_sec,Execution_Time_sec_STDV,Execution_Time_sec_COV,NUM_SAMPLES,L2_TCA,L2_TCA_STDV,L2_TCA_XCOV,L2_TCM,L2_TCM_STDV,L2_TCM_XCOV,L3_TCA,L3_TCA_STDV,L3_TCA_XCOV,L3_TCM,L3_TCM_STDV,L3_TCM_XCOV,OS_Threads,OS_Threads_STDV,OS_Threads_XCOV,STasks,STasks_STDV,STasks_XCOV,TOT_CYC,TOT_CYC_STDV,TOT_CYC_XCOV,TOT_INS,TOT_INS_STDV,TOT_INS_XCOV,Tasks,Tasks_STDV,Tasks_XCOV,Warmup_sec,Warmup_sec_STDV,Warmup_sec_XCOV,cumulative,cumulative_STDV,cumulative_XCOV,idle_rate,idle_rate_STDV,idle_rate_XCOV,objects,objects_STDV,objects_XCOV,pending_accesses,pending_accesses_STDV,pending_accesses_XCOV,pending_misses,pending_misses_STDV,pending_misses_XCOV,phase_duration,phase_duration_STDV,phase_duration_XCOV,phase_overhead,phase_overhead_STDV,phase_overhead_XCOV,phases,phases_STDV,phases_XCOV,resident,resident_STDV,resident_XCOV,stack_recycles,stack_recycles_STDV,stack_recycles_XCOV,stack_unbinds,stack_unbinds_STDV,stack_unbinds_XCOV,stolen_from_pending,stolen_from_pending_STDV,stolen_from_pending_XCOV,stolen_from_staged,stolen_from_staged_STDV,stolen_from_staged_XCOV,stolen_to_pending,stolen_to_pending_STDV,stolen_to_pending_XCOV,stolen_to_staged,stolen_to_staged_STDV,stolen_to_staged_XCOV,task_duration,task_duration_STDV,task_duration_XCOV,task_overhead,task_overhead_STDV,task_overhead_XCOV,virtual,virtual_STDV,virtual_XCOV
1,10.824746818,0.356418461,0.03293,10,343537414,10977391.82483,0.03195,164114259,8348085.13324,0.05087,164114797,8347782.53760,0.05087,56037467,8934848.29527,0.15944,2,0.00000,0.00000,0,0.00000,,77309305731,2722070859.60514,0.03521,82524167087,693840248.03779,0.00841,10000000,0.00000,0.00000,1.371900984,0.217130883,0.15827,9865571,71999.68121,0.00730,3422,122.90669,0.03591,372,2.79881,0.00751,19928520,145443.97839,0.00730,10075560,77153.57689,0.00766,1451,65.19961,0.04491,754,22.49049,0.02980,9865596,71997.04030,0.00730,1293492224,4008082.91424,0.00310,9865340,72034.84120,0.00730,564417,48762.75113,0.08639,12654,6727.15611,0.53161,25930,18634.26056,0.71864,12654,6727.15611,0.53161,25950,18654.83256,0.71888,1451,65.19961,0.04491,754,22.49049,0.02980,1433129779,4247954.55896,0.00296
2,7.911817051,0.195198719,0.02467,10,171762166,6242373.27734,0.03634,82178317,4456119.57358,0.05423,82179275,4455009.36444,0.05421,27525326,4538138.64007,0.16487,2,0.00000,0.00000,0,0.00000,,57512842233,1510781858.73175,0.02627,67359627319,466019742.09273,0.00692,5000000,0.00000,0.00000,0.705576478,0.095674722,0.13560,4986056,30442.13299,0.00611,2323,102.32199,0.04403,372,2.66875,0.00717,10072480,61763.78273,0.00613,5093907,33807.02040,0.00664,2429,126.45531,0.05205,735,43.93682,0.05978,4986079,30440.45507,0.00611,658241536,1964132.72456,0.00298,4985778,30324.16484,0.00608,271947,33814.30108,0.12434,7529,5166.08769,0.68612,16128,10993.90788,0.68164,7529,5166.01235,0.68612,16148,10992.21287,0.68070,2429,126.45531,0.05205,735,43.93682,0.05978,797959782,2163916.96799,0.00271
4,6.362672958,0.057724780,0.00907,10,84357201,1525221.81900,0.01808,39248013,1445227.90501,0.03682,39248475,1444726.23305,0.03681,11609011,1460113.11960,0.12577,2,0.00000,0.00000,0,0.00000,,46979488969,415717831.63315,0.00885,59297381194,253875536.61784,0.00428,2500000,0.00000,0.00000,0.328564279,0.047745905,0.14532,2494346,8255.01045,0.00331,1343,23.35737,0.01739,371,4.22821,0.01137,5039209,17090.42840,0.00339,2547770,10128.69633,0.00398,4448,156.17231,0.03511,690,30.76506,0.04456,2494368,8253.87952,0.00331,338512281,343972.96573,0.00102,2494036,8188.96107,0.00328,136974,15242.09696,0.11128,2944,1705.36898,0.57921,6881,3070.38681,0.44617,2944,1705.36898,0.57921,6911,3025.40202,0.43773,4448,156.17231,0.03511,690,30.76506,0.04456,477940121,500506.69342,0.00105
5,6.125545521,0.049807011,0.00813,10,68951597,1930216.00116,0.02799,32221630,1454541.72435,0.04514,32222054,1454220.99244,0.04513,9919248,1411405.33781,0.14229,2,0.00000,0.00000,0,0.00000,,45464412905,361838128.37041,0.00796,57899749680,47581826.14935,0.00082,2000000,0.00000,0.00000,0.270979672,0.044741921,0.16511,2000026,1.05935,0.00000,1122,23.38589,0.02083,372,3.55278,0.00955,4041059,71.98734,0.00002,2043458,870.63120,0.00043,5417,36.51849,0.00674,685,18.51606,0.02702,2000049,6.96340,0.00000,274538905,270786.94241,0.00099,1999660,8.77876,0.00000,111083,9292.55995,0.08365,2464,916.00716,0.37176,5860,2280.02312,0.38908,2463,916.16760,0.37185,5860,2280.02312,0.38908,5417,36.64014,0.00676,685,18.51606,0.02702,414230937,823000.91738,0.00199
8,5.715710444,0.024462636,0.00428,10,43810697,980937.99003,0.02239,20815577,841899.02052,0.04045,20816094,842073.16853,0.04045,6657332,841415.72100,0.12639,2,0.00000,0.00000,0,0.00000,,42685868180,213148948.20330,0.00499,55393170695,81190716.63399,0.00147,1250000,0.00000,0.00000,0.185248072,0.016629073,0.08977,1249649,1195.37743,0.00096,743,9.41866,0.01267,373,3.29983,0.00885,2525170,2717.17710,0.00108,1276203,1578.69544,0.00124,8433,31.20826,0.00370,677,10.05319,0.01485,1249667,1199.35642,0.00096,178183372,103058.70273,0.00058,1249290,1170.53663,0.00094,69398,8454.24241,0.12182,715,394.62056,0.55153,2338,1384.34608,0.59198,715,394.69685,0.55171,2338,1384.34608,0.59198,8433,31.22125,0.00370,677,10.05319,0.01485,317431398,690965.10590,0.00218
10,5.564402016,0.018971707,0.00341,10,35204738,609039.96039,0.01730,16569341,707235.97926,0.04268,16569880,707522.26325,0.04270,5197698,674336.52632,0.12974,2,0.00000,0.00000,0,0.00000,,41696745846,132043766.93609,0.00317,54586357323,27591381.67512,0.00051,1000000,0.00000,0.00000,0.142141872,0.017801240,0.12524,1000026,2.54078,0.00000,605,8.67243,0.01431,372,2.21108,0.00594,2021037,51.99145,0.00003,1021396,341.44726,0.00033,10410,29.65149,0.00285,671,10.92449,0.01626,1000044,7.01110,0.00001,145974476,42261.42272,0.00029,999660,9.69593,0.00001,55553,4660.75533,0.08390,419,356.16708,0.84822,1544,756.65146,0.48977,419,356.16708,0.84822,1544,756.65146,0.48977,10410,29.90429,0.00287,671,10.92449,0.01626,285428121,95440.60879,0.00033
20,5.269233129,0.010721157,0.00203,10,17642487,514685.89256,0.02917,8140674,331441.80649,0.04071,8141481,331668.24991,0.04074,2269590,326228.51111,0.14374,2,0.00000,0.00000,0,0.00000,,39558629072,302822462.03188,0.00766,52722640174,412576648.75896,0.00783,500000,0.00000,0.00000,0.063924261,0.016031275,0.25079,500026,1.63299,0.00000,314,6.53197,0.02080,372,3.69534,0.00991,1011056,70.32022,0.00007,511166,148.15761,0.00029,20335,32.69794,0.00161,659,14.55602,0.02206,500047,11.22299,0.00002,81563648,26754.95996,0.00033,499663,8.32733,0.00002,27238,2158.67213,0.07925,173,108.38922,0.62653,447,308.91790,0.69017,173,108.38922,0.62653,447,308.91790,0.69017,20336,32.77940,0.00161,659,14.55602,0.02206,221050060,115045.84174,0.00052
25,5.220177869,0.009466136,0.00181,10,14156975,365392.80170,0.02581,6565460,228638.12347,0.03482,6566253,228261.95563,0.03476,1813507,227172.80106,0.12527,2,0.00000,0.00000,0,0.00000,,39359899928,61325843.95364,0.00156,52609439184,64691801.47778,0.00123,400000,0.00000,0.00000,0.054908020,0.012223701,0.22262,400026,0.52705,0.00000,251,2.39444,0.00951,372,3.84274,0.01031,808975,46.68440,0.00006,409032,84.82898,0.00021,25648,949.30024,0.03701,663,27.48515,0.04145,400047,5.82046,0.00001,68686233,17848.82883,0.00026,399662,7.36056,0.00002,21484,3757.60084,0.17490,110,41.18198,0.37168,323,183.32124,0.56703,110,41.21812,0.37268,323,183.32124,0.56703,25649,949.23994,0.03701,663,27.48515,0.04145,208445030,110692.24757,0.00053
40,5.139853683,0.007475043,0.00145,10,9232668,311448.65984,0.03373,4334487,229613.74789,0.05297,4335902,229256.69694,0.05287,1149874,188455.76235,0.16389,2,0.00000,0.00000,0,0.00000,,38822813589,93190448.54428,0.00240,52086428444,132277672.92215,0.00254,250000,0.00000,0.00000,0.036457676,0.010433285,0.28618,250027,1.94651,0.00001,159,2.72641,0.01705,374,4.01248,0.01073,505778,57.88773,0.00011,255780,73.06466,0.00029,40759,1453.50314,0.03566,664,23.09425,0.03476,250057,16.77299,0.00007,49355980,17569.88259,0.00036,249657,7.41545,0.00003,12860,1258.29675,0.09784,71,42.98837,0.60547,97,74.40886,0.76474,71,43.04894,0.60547,97,74.40886,0.76474,40764,1455.95759,0.03572,664,23.03717,0.03467,188305408,163692.02206,0.00087
50,5.108066969,0.005295097,0.00104,10,7353404,345743.33473,0.04702,3375598,213533.73810,0.06326,3375889,213519.55308,0.06325,771472,197738.36590,0.25631,2,0.00000,0.00000,0,0.00000,,38557324195,245507716.72469,0.00637,51853918386,315246296.53007,0.00608,200000,0.00000,0.00000,0.024226749,0.007233819,0.29859,200027,2.09762,0.00001,129,3.23866,0.02503,374,3.88730,0.01039,404588,136.82121,0.00034,204599,150.42015,0.00074,51297,2299.37378,0.04482,674,41.19601,0.06112,200053,11.99491,0.00006,42902323,26810.64152,0.00062,199668,10.31504,0.00005,10843,956.60323,0.08822,77,45.40876,0.58366,77,51.82406,0.66612,78,45.27202,0.58041,77,51.82406,0.66612,51304,2298.76351,0.04481,674,41.15675,0.06105,182189260,678002.59307,0.00372
